36.6,35.1,N
36.1,30.4,Y
36.2,33.9,N
40.0,40.0,N
39.0,37.8,Y
37.2,38.8,Y
34.1,38.6,Y
35.1,38.2,N
37.0,39.1,Y
32.0,36.8,Y
39.5,30.2,Y
32.5,34.3,Y
30.3,40.0,Y
36.6,31.5,Y
35.4,30.8,N
32.4,31.1,Y
33.4,37.1,N
30.7,31.5,Y
39.5,34.1,Y
32.6,37.2,N
33.4,37.1,Y
31.2,38.6,N
39.2,33.4,Y
37.3,39.0,N
31.8,30.7,Y
30.0,31.9,N
31.8,34.5,N
36.9,36.9,N
36.6,32.7,N
33.1,35.5,Y
31.7,30.6,Y
35.4,35.4,N
39.6,33.2,Y
33.8,32.1,N
33.5,34.1,N
39.8,38.8,Y
33.0,36.4,Y
33.8,33.0,N
38.8,32.7,N
35.7,30.8,Y
36.1,30.3,Y
38.3,30.8,N
32.7,36.5,N
34.2,39.0,N
38.4,36.6,Y
30.0,33.7,Y
36.6,38.9,N
30.5,31.7,Y
39.8,31.4,N
32.9,38.0,Y
38.0,38.6,N
39.9,35.0,N
31.2,32.6,Y
37.9,36.4,Y
37.0,36.5,Y
38.0,33.0,N
35.2,37.7,N
39.3,31.2,Y
34.3,32.8,N
33.3,34.8,Y
36.7,35.8,Y
30.9,34.9,N
30.1,31.1,Y
36.5,36.3,N
35.1,36.1,Y
30.1,33.7,Y
38.3,34.9,N
33.5,31.7,N
38.3,39.2,N
32.2,32.6,Y
32.2,38.5,N
33.9,35.5,N
30.7,34.9,N
35.1,31.2,N
35.9,33.3,N
39.8,32.7,Y
36.9,38.9,Y
36.9,37.8,Y
30.7,30.5,N
30.2,33.3,N
32.0,36.6,N
38.5,33.6,N
32.4,30.9,N
38.9,32.8,Y
33.6,34.4,Y
39.4,36.9,Y
35.4,30.9,Y
37.7,35.8,Y
31.0,37.3,N
30.6,39.4,N
31.4,30.4,Y
39.9,31.3,Y
38.4,35.5,Y
36.2,32.5,N
38.8,34.5,Y
33.0,34.6,N
36.4,37.2,Y
39.2,38.1,N
36.1,38.0,N
36.3,35.9,Y
39.8,38.5,N
35.5,39.8,N
37.2,39.5,Y
31.3,31.2,Y
35.7,35.0,Y
36.0,39.7,N
35.0,36.7,N
39.9,30.9,Y
36.8,32.6,Y
36.3,37.2,N
38.0,30.7,Y
35.5,30.7,N
30.4,30.5,Y
34.1,31.0,Y
30.9,32.4,N
30.4,37.5,N
39.4,34.7,N
35.3,34.0,N
36.5,30.1,Y
37.6,39.6,Y
30.8,31.1,Y
37.1,35.1,N
30.3,38.0,N
38.5,34.9,N
32.8,37.3,Y
36.3,34.5,N
34.3,34.7,N
34.4,39.6,Y
35.5,33.5,Y
33.8,34.0,N
38.1,35.3,Y
33.2,37.1,Y
30.8,38.8,Y
36.2,33.9,N
31.3,30.1,Y
37.9,31.5,N
36.0,39.8,N
36.3,30.4,N
32.9,33.9,N
31.9,32.6,N
31.4,32.9,N
32.0,33.7,Y
32.2,33.0,Y
34.3,34.4,Y
34.1,37.2,N
36.4,35.5,Y
38.7,37.0,Y
35.6,33.3,Y
37.3,32.7,N
33.9,37.3,Y
35.4,37.3,Y
38.9,35.1,N
34.3,34.3,N
39.7,39.6,Y
30.8,32.6,Y
32.6,36.6,Y
32.9,35.5,N
35.4,38.3,Y
32.8,36.6,N
36.0,34.9,Y
35.9,38.0,Y
37.1,32.3,N
34.0,36.1,Y
40.0,37.0,N
31.1,34.4,N
32.8,32.0,N
31.9,34.2,Y
35.2,36.5,N
39.3,36.2,Y
31.9,31.7,Y
31.0,34.8,N
37.1,34.4,N
30.7,38.6,N
39.3,32.1,N
36.9,31.7,N
36.1,36.3,Y
36.5,30.0,N
35.9,33.7,N
32.8,33.6,N
36.4,35.9,N
31.2,34.3,Y
33.5,36.3,N
31.7,36.1,Y
34.0,31.9,Y
39.3,37.5,N
35.2,36.0,Y
30.8,31.5,Y
37.8,38.9,Y
37.3,33.4,Y
36.3,30.5,Y
35.0,33.5,N
30.9,38.6,N
34.4,37.2,Y
31.1,37.2,N
35.3,31.3,Y
37.2,30.8,Y
36.7,36.5,Y
36.4,30.8,N
38.8,32.0,N
30.6,39.6,N
37.1,33.1,N
35.4,36.7,N
